sample,time_us,amplitude
553,13.825,0.00146484375
554,13.85,0.00146484375
555,13.875,0.001708984375
556,13.9,0.001708984375
557,13.925,0.001708984375
558,13.95,0.001708984375
559,13.975,0.00146484375
560,14.0,0.001708984375
561,14.025,0.00146484375
562,14.05,0.00146484375
563,14.075,0.00146484375
564,14.1,0.00146484375
565,14.125,0.00146484375
566,14.15,0.001708984375
567,14.175,0.001708984375
568,14.2,0.00146484375
569,14.225,0.00146484375
570,14.25,0.00146484375
571,14.275,0.001953125
572,14.3,0.001708984375
573,14.325,0.00146484375
574,14.35,0.001708984375
575,14.375,0.001953125
576,14.4,0.001708984375
577,14.425,0.001708984375
578,14.45,0.001953125
579,14.475,0.00146484375
580,14.5,0.001708984375
581,14.525,0.001953125
582,14.55,0.001953125
583,14.575,0.001708984375
584,14.6,0.001708984375
585,14.625,0.00146484375
586,14.65,0.001953125
587,14.675,0.001953125
588,14.7,0.001953125
589,14.725,0.001708984375
590,14.75,0.001708984375
591,14.775,0.001953125
592,14.8,0.001708984375
593,14.825,0.001708984375
594,14.85,0.001708984375
595,14.875,0.001953125
596,14.9,0.001953125
597,14.925,0.001708984375
598,14.95,0.002197265625
599,14.975,0.001953125
600,15.0,0.001708984375
601,15.025,0.001708984375
602,15.05,0.001953125
603,15.075,0.001953125
604,15.1,0.001953125
605,15.125,0.002197265625
606,15.15,0.001953125
607,15.175,0.001953125
608,15.2,0.001953125
609,15.225,0.002197265625
610,15.25,0.001708984375
611,15.275,0.001953125
612,15.3,0.001953125
613,15.325,0.001953125
614,15.35,0.001953125
615,15.375,0.002197265625
616,15.4,0.001708984375
617,15.425,0.001953125
618,15.45,0.001953125
619,15.475,0.001953125
620,15.5,0.001953125
621,15.525,0.002197265625
622,15.55,0.002197265625
623,15.575,0.001953125
624,15.6,0.001953125
625,15.625,0.001953125
626,15.65,0.001953125
627,15.675,0.002197265625
628,15.7,0.001708984375
629,15.725,0.001953125
630,15.75,0.001953125
631,15.775,0.001953125
632,15.8,0.001953125
633,15.825,0.001953125
634,15.85,0.001708984375
635,15.875,0.001708984375
636,15.9,0.001953125
637,15.925,0.001708984375
638,15.95,0.001953125
639,15.975,0.001953125
640,16.0,0.001953125
641,16.025,0.001953125
642,16.05,0.001953125
643,16.075,0.001953125
644,16.1,0.001953125
645,16.125,0.001953125
646,16.15,0.001953125
647,16.175,0.001953125
648,16.2,0.001708984375
649,16.225,0.001953125
650,16.25,0.001953125
651,16.275,0.001708984375
652,16.3,0.001708984375
653,16.325,0.001953125
654,16.35,0.001708984375
655,16.375,0.001953125
656,16.4,0.001708984375
657,16.425,0.001708984375
658,16.45,0.001708984375
659,16.475,0.001708984375
660,16.5,0.001953125
661,16.525,0.001708984375
662,16.55,0.001953125
663,16.575,0.001708984375
664,16.6,0.001708984375
665,16.625,0.001708984375
666,16.65,0.001953125
667,16.675,0.001708984375
668,16.7,0.001708984375
669,16.725,0.001708984375
670,16.75,0.001220703125
671,16.775,0.001708984375
672,16.8,0.00146484375
673,16.825,0.00146484375
674,16.85,0.001708984375
675,16.875,0.00146484375
676,16.9,0.001708984375
677,16.925,0.001953125
678,16.95,0.00146484375
679,16.975,0.00146484375
680,17.0,0.001708984375
681,17.025,0.00146484375
682,17.05,0.001708984375
683,17.075,0.001708984375
684,17.1,0.001953125
685,17.125,0.00146484375
686,17.15,0.001708984375
687,17.175,0.001708984375
688,17.2,0.001708984375
689,17.225,0.001708984375
690,17.25,0.001708984375
691,17.275,0.001708984375
692,17.3,0.001953125
693,17.325,0.001220703125
694,17.35,0.001220703125
695,17.375,0.00146484375
696,17.4,0.001708984375
697,17.425,0.001708984375
698,17.45,0.001708984375
699,17.475,0.001708984375
700,17.5,0.001708984375
701,17.525,0.00146484375
702,17.55,0.001708984375
703,17.575,0.00146484375
704,17.6,0.001708984375
705,17.625,0.00146484375
706,17.65,0.00146484375
707,17.675,0.001708984375
708,17.7,0.001708984375
709,17.725,0.001708984375
710,17.75,0.001708984375
711,17.775,0.001708984375
712,17.8,0.001708984375
713,17.825,0.00146484375
714,17.85,0.001708984375
715,17.875,0.00146484375
716,17.9,0.00146484375
717,17.925,0.001708984375
718,17.95,0.001708984375
719,17.975,0.001953125
720,18.0,0.00146484375
721,18.025,0.001708984375
722,18.05,0.001708984375
723,18.075,0.00146484375
724,18.1,0.001708984375
725,18.125,0.00146484375
726,18.15,0.001708984375
727,18.175,0.001953125
728,18.2,0.001953125
729,18.225,0.001708984375
730,18.25,0.00146484375
731,18.275,0.001953125
732,18.3,0.001953125
733,18.325,0.001708984375
734,18.35,0.001708984375
735,18.375,0.001708984375
736,18.4,0.001708984375
737,18.425,0.001708984375
738,18.45,0.001708984375
739,18.475,0.001953125
740,18.5,0.001953125
741,18.525,0.002197265625
742,18.55,0.001708984375
743,18.575,0.001708984375
744,18.6,0.001953125
745,18.625,0.001708984375
746,18.65,0.001708984375
747,18.675,0.001708984375
748,18.7,0.001708984375
749,18.725,0.001708984375
750,18.75,0.001708984375
751,18.775,0.001953125
752,18.8,0.001953125
753,18.825,0.001708984375
754,18.85,0.001953125
755,18.875,0.00146484375
756,18.9,0.001953125
757,18.925,0.001953125
758,18.95,0.001953125
759,18.975,0.001708984375
760,19.0,0.001953125
761,19.025,0.001953125
762,19.05,0.001953125
763,19.075,0.001708984375
764,19.1,0.002197265625
765,19.125,0.001708984375
766,19.15,0.002197265625
767,19.175,0.001953125
768,19.2,0.001953125
769,19.225,0.002197265625
770,19.25,0.001953125
771,19.275,0.002197265625
772,19.3,0.001953125
773,19.325,0.001953125
774,19.35,0.002197265625
775,19.375,0.001953125
776,19.4,0.001953125
777,19.425,0.001953125
