sample,amplitude
757,0.00244140625
758,0.002197265625
759,0.002197265625
760,0.00244140625
761,0.001953125
762,0.001953125
763,0.001953125
764,0.002197265625
765,0.001953125
766,0.001953125
767,0.001953125
768,0.002197265625
769,0.001953125
770,0.001953125
771,0.001953125
772,0.001953125
773,0.001708984375
774,0.001953125
775,0.002197265625
776,0.002197265625
777,0.002197265625
778,0.001953125
779,0.001953125
780,0.002197265625
781,0.002197265625
782,0.001953125
783,0.002197265625
784,0.001953125
785,0.002197265625
786,0.002197265625
787,0.001953125
788,0.002197265625
789,0.001953125
790,0.001953125
791,0.001953125
792,0.002197265625
793,0.002197265625
794,0.001953125
795,0.002197265625
796,0.001953125
797,0.001953125
798,0.002197265625
799,0.001953125
800,0.001953125
801,0.001953125
802,0.001953125
803,0.002197265625
804,0.002197265625
805,0.00244140625
806,0.002197265625
807,0.00244140625
808,0.002197265625
809,0.00244140625
810,0.001953125
811,0.002197265625
812,0.002197265625
813,0.002197265625
814,0.001953125
815,0.002197265625
816,0.00244140625
817,0.00244140625
818,0.002197265625
819,0.002197265625
820,0.002197265625
821,0.00244140625
822,0.002197265625
823,0.002197265625
824,0.001953125
825,0.00244140625
826,0.00244140625
827,0.002197265625
828,0.002197265625
829,0.002197265625
830,0.002197265625
831,0.002197265625
832,0.001953125
833,0.00244140625
834,0.002197265625
835,0.002197265625
836,0.002197265625
837,0.00244140625
838,0.001953125
839,0.00244140625
840,0.002197265625
841,0.00244140625
842,0.00244140625
843,0.002197265625
844,0.002685546875
845,0.002197265625
846,0.002197265625
847,0.002197265625
848,0.002197265625
849,0.00244140625
850,0.00244140625
851,0.00244140625
852,0.002197265625
853,0.00244140625
854,0.002197265625
855,0.00244140625
856,0.00244140625
857,0.00244140625
858,0.00244140625
859,0.002197265625
860,0.00244140625
861,0.002685546875
862,0.002197265625
863,0.00244140625
864,0.00244140625
865,0.00244140625
866,0.00244140625
867,0.002197265625
868,0.002685546875
869,0.002197265625
870,0.002197265625
871,0.00244140625
872,0.002197265625
873,0.00244140625
874,0.002197265625
875,0.00244140625
876,0.00244140625
877,0.002197265625
878,0.00244140625
879,0.00244140625
880,0.00244140625
881,0.002197265625
882,0.00244140625
883,0.002685546875
884,0.00244140625
885,0.002197265625
886,0.002197265625
887,0.00244140625
888,0.002197265625
889,0.002197265625
890,0.00244140625
891,0.00244140625
892,0.002197265625
893,0.002197265625
894,0.00244140625
895,0.002197265625
896,0.002197265625
897,0.001953125
898,0.00244140625
899,0.001953125
900,0.00244140625
901,0.002197265625
902,0.002197265625
903,0.00244140625
904,0.002197265625
905,0.00244140625
906,0.002197265625
907,0.00244140625
908,0.002197265625
909,0.001953125
910,0.00244140625
911,0.001953125
912,0.002197265625
913,0.00244140625
914,0.002197265625
915,0.002197265625
916,0.001953125
917,0.002197265625
918,0.001953125
919,0.001953125
920,0.002197265625
921,0.001953125
922,0.002197265625
923,0.002197265625
924,0.002197265625
925,0.002197265625
926,0.001953125
927,0.002197265625
928,0.002197265625
929,0.002197265625
930,0.002197265625
931,0.001708984375
932,0.001953125
933,0.002197265625
934,0.002197265625
935,0.00244140625
936,0.001953125
937,0.002197265625
938,0.002197265625
939,0.001953125
940,0.002197265625
941,0.001953125
942,0.002197265625
943,0.001953125
944,0.002197265625
945,0.002197265625
946,0.002197265625
947,0.001708984375
948,0.001953125
949,0.001953125
950,0.002197265625
951,0.001953125
952,0.002197265625
953,0.001953125
954,0.001953125
955,0.001708984375
956,0.002197265625
957,0.001953125
958,0.002197265625
959,0.001953125
960,0.002197265625
961,0.002197265625
962,0.00244140625
963,0.002197265625
964,0.002197265625
965,0.00244140625
966,0.002197265625
967,0.001953125
968,0.002197265625
969,0.001953125
970,0.00244140625
971,0.001953125
972,0.002197265625
973,0.001953125
974,0.002197265625
975,0.002197265625
976,0.001953125
977,0.00244140625
978,0.002197265625
979,0.001953125
980,0.002197265625
981,0.002197265625
982,0.00244140625
983,0.00244140625
984,0.002197265625
985,0.002197265625
986,0.001953125
987,0.002197265625
988,0.001953125
989,0.002197265625
990,0.00244140625
991,0.001953125
992,0.002197265625
993,0.001953125
994,0.00244140625
995,0.002197265625
996,0.002197265625
997,0.001953125
998,0.001953125
999,0.001953125
